project_id,project_name,ministry,sector,original_cost_cr,revised_cost_cr,expenditure_cr,physical_progress_pct,status,cost_overrun_pct,revised_cost_missing,possible_outlier,date_is_synthetic,cost_is_estimated,primary_delay_cause
100063,Roads & Highways Project 100063,Ministry of Road Transport & Highways,Roads & Highways,2116.41,1919.67,1420.99,98.6,On Track,-9.3,False,False,True,True,
100064,Roads & Highways Project 100064,Ministry of Road Transport & Highways,Roads & Highways,1259.47,1247.07,452.47,43.5,Delayed,-0.98,False,False,True,True,scope changes and structural revisions
100065,Roads & Highways Project 100065,Ministry of Road Transport & Highways,Roads & Highways,993.78,940.27,452.65,69.8,On Track,-5.38,True,False,True,True,
100066,Roads & Highways Project 100066,Ministry of Road Transport & Highways,Roads & Highways,1181.14,1169.5,704.38,74.8,On Track,-0.99,False,False,True,True,
100067,Roads & Highways Project 100067,Ministry of Road Transport & Highways,Roads & Highways,525.05,500.41,20.79,17.0,Critical,-4.69,False,False,True,True,forest/environment clearance delays
100068,Roads & Highways Project 100068,Ministry of Road Transport & Highways,Roads & Highways,616.59,595.42,415.9,89.0,On Track,-3.43,False,False,True,True,
100069,Roads & Highways Project 100069,Ministry of Road Transport & Highways,Roads & Highways,596.45,577.58,173.26,28.7,Delayed,-3.16,False,False,True,True,land acquisition delays
100070,Roads & Highways Project 100070,Ministry of Road Transport & Highways,Roads & Highways,1087.86,1081.94,504.4,65.5,On Track,-0.54,False,False,True,True,
100071,Roads & Highways Project 100071,Ministry of Road Transport & Highways,Roads & Highways,594.51,577.74,159.06,33.9,Delayed,-2.82,False,False,True,True,land acquisition delays
100072,Roads & Highways Project 100072,Ministry of Road Transport & Highways,Roads & Highways,315.55,323.08,205.03,78.1,On Track,2.39,False,False,True,True,
100073,Roads & Highways Project 100073,Ministry of Road Transport & Highways,Roads & Highways,1675.51,1586.44,1180.96,98.5,On Track,-5.32,False,False,True,True,
100074,Roads & Highways Project 100074,Ministry of Road Transport & Highways,Roads & Highways,910.87,861.82,647.47,98.1,On Track,-5.38,True,False,True,True,
100075,Roads & Highways Project 100075,Ministry of Road Transport & Highways,Roads & Highways,1531.0,1473.62,841.0,74.9,On Track,-3.75,False,False,True,True,
100076,Roads & Highways Project 100076,Ministry of Road Transport & Highways,Roads & Highways,1131.29,1103.76,384.68,40.8,Delayed,-2.43,False,False,True,True,delays in detailed engineering
100077,Roads & Highways Project 100077,Ministry of Road Transport & Highways,Roads & Highways,382.13,371.04,85.05,25.0,Critical,-2.9,False,False,True,True,land acquisition delays
100078,Roads & Highways Project 100078,Ministry of Road Transport & Highways,Roads & Highways,358.72,359.39,180.73,60.0,On Track,0.19,False,False,True,True,
100079,Roads & Highways Project 100079,Ministry of Road Transport & Highways,Roads & Highways,259.13,219.96,173.99,95.0,On Track,-15.12,False,False,True,True,
100080,Roads & Highways Project 100080,Ministry of Road Transport & Highways,Roads & Highways,1038.82,992.42,641.43,76.5,On Track,-4.47,False,False,True,True,
100081,Roads & Highways Project 100081,Ministry of Road Transport & Highways,Roads & Highways,408.17,418.37,287.58,99.3,Completed,2.5,False,False,True,True,
100082,Roads & Highways Project 100082,Ministry of Road Transport & Highways,Roads & Highways,784.15,740.91,334.41,58.1,On Track,-5.51,False,False,True,True,
100083,Roads & Highways Project 100083,Ministry of Road Transport & Highways,Roads & Highways,847.31,774.74,383.66,58.5,On Track,-8.56,False,False,True,True,
100084,Roads & Highways Project 100084,Ministry of Road Transport & Highways,Roads & Highways,748.22,741.15,339.41,56.0,On Track,-0.94,False,False,True,True,
100085,Roads & Highways Project 100085,Ministry of Road Transport & Highways,Roads & Highways,957.74,906.17,335.02,54.2,Delayed,-5.38,True,False,True,True,forest/environment clearance delays
100086,Roads & Highways Project 100086,Ministry of Road Transport & Highways,Roads & Highways,950.3,997.35,772.97,98.4,On Track,4.95,False,False,True,True,
100087,Roads & Highways Project 100087,Ministry of Road Transport & Highways,Roads & Highways,535.22,503.53,206.72,44.3,Delayed,-5.92,False,False,True,True,scope changes and structural revisions
100088,Roads & Highways Project 100088,Ministry of Road Transport & Highways,Roads & Highways,913.3,831.53,32.24,19.7,Critical,-8.95,False,False,True,True,delays in detailed engineering
100089,Roads & Highways Project 100089,Ministry of Road Transport & Highways,Roads & Highways,2049.15,1869.67,683.26,49.1,Delayed,-8.76,False,False,True,True,law-and-order and local right-of-way issues
100090,Roads & Highways Project 100090,Ministry of Road Transport & Highways,Roads & Highways,760.04,817.8,157.59,19.0,Critical,7.6,False,False,True,True,geological surprises
100091,Roads & Highways Project 100091,Ministry of Road Transport & Highways,Roads & Highways,540.18,555.31,253.57,54.9,Delayed,2.8,False,False,True,True,land acquisition delays
100092,Roads & Highways Project 100092,Ministry of Road Transport & Highways,Roads & Highways,290.83,283.01,160.96,73.6,On Track,-2.69,False,False,True,True,
100093,Roads & Highways Project 100093,Ministry of Road Transport & Highways,Roads & Highways,890.26,818.34,578.79,91.8,On Track,-8.08,False,False,True,True,
100094,Roads & Highways Project 100094,Ministry of Road Transport & Highways,Roads & Highways,729.28,721.43,318.84,59.6,On Track,-1.08,False,False,True,True,
100095,Roads & Highways Project 100095,Ministry of Road Transport & Highways,Roads & Highways,146.07,128.5,41.5,45.7,Delayed,-12.03,False,False,True,True,delays in detailed engineering
100096,Roads & Highways Project 100096,Ministry of Road Transport & Highways,Roads & Highways,1013.86,901.58,222.58,33.2,Delayed,-11.07,False,False,True,True,land acquisition delays
100097,Roads & Highways Project 100097,Ministry of Road Transport & Highways,Roads & Highways,777.19,711.39,455.79,74.0,On Track,-8.47,False,False,True,True,
100098,Roads & Highways Project 100098,Ministry of Road Transport & Highways,Roads & Highways,1047.71,1104.12,513.53,48.7,Delayed,5.38,False,False,True,True,financing tie-up delays
100099,Roads & Highways Project 100099,Ministry of Road Transport & Highways,Roads & Highways,971.86,936.15,295.9,37.2,Delayed,-3.67,False,False,True,True,land acquisition delays
100100,Roads & Highways Project 100100,Ministry of Road Transport & Highways,Roads & Highways,701.43,722.35,274.41,51.1,Delayed,2.98,False,False,True,True,land acquisition delays
100101,Roads & Highways Project 100101,Ministry of Road Transport & Highways,Roads & Highways,110.53,110.33,83.08,100.0,Completed,-0.18,False,False,True,True,
100102,Roads & Highways Project 100102,Ministry of Road Transport & Highways,Roads & Highways,3191.18,3115.63,2321.92,97.6,On Track,-2.37,False,False,True,True,
100103,Roads & Highways Project 100103,Ministry of Road Transport & Highways,Roads & Highways,458.44,471.69,150.51,47.4,Delayed,2.89,False,False,True,True,forest/environment clearance delays
100104,Roads & Highways Project 100104,Ministry of Road Transport & Highways,Roads & Highways,568.06,508.98,250.23,59.6,On Track,-10.4,False,False,True,True,
100105,Roads & Highways Project 100105,Ministry of Road Transport & Highways,Roads & Highways,298.11,296.69,195.05,74.0,On Track,-0.48,False,False,True,True,
100106,Roads & Highways Project 100106,Ministry of Road Transport & Highways,Roads & Highways,1745.63,1693.62,803.4,65.5,On Track,-2.98,False,False,True,True,
100107,Roads & Highways Project 100107,Ministry of Road Transport & Highways,Roads & Highways,567.27,574.32,454.28,97.8,On Track,1.24,False,False,True,True,
100108,Roads & Highways Project 100108,Ministry of Road Transport & Highways,Roads & Highways,536.33,473.3,163.1,42.4,Delayed,-11.75,False,False,True,True,tendering and ordering delays
100109,Roads & Highways Project 100109,Ministry of Road Transport & Highways,Roads & Highways,969.36,980.43,429.8,49.4,Delayed,1.14,False,False,True,True,forest/environment clearance delays
100110,Roads & Highways Project 100110,Ministry of Road Transport & Highways,Roads & Highways,536.47,538.61,257.74,67.4,On Track,0.4,False,False,True,True,
100111,Roads & Highways Project 100111,Ministry of Road Transport & Highways,Roads & Highways,1398.68,1421.18,619.1,53.5,Delayed,1.61,False,False,True,True,delays in detailed engineering
100112,Roads & Highways Project 100112,Ministry of Road Transport & Highways,Roads & Highways,650.41,639.13,149.17,27.4,Delayed,-1.73,False,False,True,True,forest/environment clearance delays
100113,Roads & Highways Project 100113,Ministry of Road Transport & Highways,Roads & Highways,1911.0,1816.44,953.63,68.2,On Track,-4.95,False,False,True,True,
100114,Roads & Highways Project 100114,Ministry of Road Transport & Highways,Roads & Highways,653.46,596.71,86.73,22.3,Critical,-8.68,False,False,True,True,law-and-order and local right-of-way issues
100115,Roads & Highways Project 100115,Ministry of Road Transport & Highways,Roads & Highways,870.17,842.19,452.99,65.4,On Track,-3.22,False,False,True,True,
100116,Roads & Highways Project 100116,Ministry of Road Transport & Highways,Roads & Highways,620.42,584.81,340.51,69.2,On Track,-5.74,False,False,True,True,
100117,Roads & Highways Project 100117,Ministry of Road Transport & Highways,Roads & Highways,1664.9,1732.48,1061.75,83.8,On Track,4.06,False,False,True,True,
100118,Roads & Highways Project 100118,Ministry of Road Transport & Highways,Roads & Highways,1732.93,1774.75,872.13,56.6,On Track,2.41,False,False,True,True,
100119,Roads & Highways Project 100119,Ministry of Road Transport & Highways,Roads & Highways,587.23,585.12,462.83,98.7,On Track,-0.36,False,False,True,True,
100120,Roads & Highways Project 100120,Ministry of Road Transport & Highways,Roads & Highways,696.63,670.57,322.04,54.2,Delayed,-3.74,False,False,True,True,land acquisition delays
100121,Roads & Highways Project 100121,Ministry of Road Transport & Highways,Roads & Highways,760.86,739.09,578.92,96.9,On Track,-2.86,False,False,True,True,
100122,Roads & Highways Project 100122,Ministry of Road Transport & Highways,Roads & Highways,1010.05,964.22,447.15,55.6,On Track,-4.54,False,False,True,True,
100123,Roads & Highways Project 100123,Ministry of Road Transport & Highways,Roads & Highways,798.03,779.29,99.83,25.6,Delayed,-2.35,False,False,True,True,financing tie-up delays
100124,Roads & Highways Project 100124,Ministry of Road Transport & Highways,Roads & Highways,424.41,473.62,248.29,73.6,Delayed,11.59,False,False,True,True,delays in detailed engineering
100125,Roads & Highways Project 100125,Ministry of Road Transport & Highways,Roads & Highways,262.46,244.92,169.08,85.2,On Track,-6.68,False,False,True,True,
100126,Roads & Highways Project 100126,Ministry of Road Transport & Highways,Roads & Highways,737.55,662.54,325.24,64.8,On Track,-10.17,False,False,True,True,
100127,Roads & Highways Project 100127,Ministry of Road Transport & Highways,Roads & Highways,1209.34,1313.6,129.13,15.6,Critical,8.62,False,False,True,True,land acquisition delays
100128,Roads & Highways Project 100128,Ministry of Road Transport & Highways,Roads & Highways,694.84,652.8,66.37,16.0,Critical,-6.05,False,False,True,True,tendering and ordering delays
100129,Roads & Highways Project 100129,Ministry of Road Transport & Highways,Roads & Highways,467.05,385.74,156.84,44.7,Delayed,-17.41,False,False,True,True,financing tie-up delays
100130,Roads & Highways Project 100130,Ministry of Road Transport & Highways,Roads & Highways,1235.11,1142.84,452.81,57.8,On Track,-7.47,False,False,True,True,
100131,Roads & Highways Project 100131,Ministry of Road Transport & Highways,Roads & Highways,343.98,337.57,246.05,100.0,Completed,-1.86,False,False,True,True,
100132,Roads & Highways Project 100132,Ministry of Road Transport & Highways,Roads & Highways,2218.48,2099.33,1559.29,90.0,On Track,-5.37,False,False,True,True,
100133,Roads & Highways Project 100133,Ministry of Road Transport & Highways,Roads & Highways,1990.55,1853.59,1466.19,98.5,On Track,-6.88,False,False,True,True,
100134,Roads & Highways Project 100134,Ministry of Road Transport & Highways,Roads & Highways,791.21,808.31,475.35,72.3,On Track,2.16,False,False,True,True,
100135,Roads & Highways Project 100135,Ministry of Road Transport & Highways,Roads & Highways,2016.82,2135.24,1062.01,62.0,On Track,5.87,False,False,True,True,
100136,Roads & Highways Project 100136,Ministry of Road Transport & Highways,Roads & Highways,644.54,673.02,86.14,16.6,Critical,4.42,False,False,True,True,forest/environment clearance delays
100137,Roads & Highways Project 100137,Ministry of Road Transport & Highways,Roads & Highways,1268.99,1251.31,395.53,44.7,Delayed,-1.39,False,False,True,True,land acquisition delays
100138,Roads & Highways Project 100138,Ministry of Road Transport & Highways,Roads & Highways,396.54,388.39,244.43,97.8,On Track,-2.06,False,False,True,True,
100139,Roads & Highways Project 100139,Ministry of Road Transport & Highways,Roads & Highways,592.5,538.85,378.03,99.4,Completed,-9.05,False,False,True,True,
100140,Roads & Highways Project 100140,Ministry of Road Transport & Highways,Roads & Highways,1610.05,1502.59,493.39,51.9,Delayed,-6.67,False,False,True,True,land acquisition delays
100141,Roads & Highways Project 100141,Ministry of Road Transport & Highways,Roads & Highways,1202.99,1046.39,827.7,99.7,Completed,-13.02,False,False,True,True,
100142,Roads & Highways Project 100142,Ministry of Road Transport & Highways,Roads & Highways,646.31,601.8,476.02,98.3,On Track,-6.89,False,False,True,True,
100143,Roads & Highways Project 100143,Ministry of Road Transport & Highways,Roads & Highways,691.8,665.56,99.88,21.6,Critical,-3.79,False,False,True,True,tendering and ordering delays
100144,Roads & Highways Project 100144,Ministry of Road Transport & Highways,Roads & Highways,568.8,547.19,207.27,55.6,On Track,-3.8,False,False,True,True,
100145,Roads & Highways Project 100145,Ministry of Road Transport & Highways,Roads & Highways,1761.39,1844.44,920.38,63.3,On Track,4.72,False,False,True,True,
100146,Roads & Highways Project 100146,Ministry of Road Transport & Highways,Roads & Highways,897.44,951.36,99.59,6.0,Critical,6.01,False,False,True,True,land acquisition delays
100147,Roads & Highways Project 100147,Ministry of Road Transport & Highways,Roads & Highways,924.18,854.36,479.67,68.8,On Track,-7.55,False,False,True,True,
100148,Roads & Highways Project 100148,Ministry of Road Transport & Highways,Roads & Highways,659.6,665.6,412.28,75.7,On Track,0.91,False,False,True,True,
100149,Roads & Highways Project 100149,Ministry of Road Transport & Highways,Roads & Highways,877.08,888.86,274.44,31.6,Delayed,1.34,False,False,True,True,land acquisition delays
100150,Roads & Highways Project 100150,Ministry of Road Transport & Highways,Roads & Highways,3163.0,3267.21,1573.59,61.0,On Track,3.29,False,False,True,True,
100151,Roads & Highways Project 100151,Ministry of Road Transport & Highways,Roads & Highways,410.68,420.22,321.92,97.4,On Track,2.32,False,False,True,True,
100152,Roads & Highways Project 100152,Ministry of Road Transport & Highways,Roads & Highways,703.46,669.31,282.5,45.8,Delayed,-4.85,False,False,True,True,contractual disputes and arbitration
100153,Roads & Highways Project 100153,Ministry of Road Transport & Highways,Roads & Highways,896.75,994.02,426.4,57.7,Delayed,10.85,False,False,True,True,forest/environment clearance delays
100154,Roads & Highways Project 100154,Ministry of Road Transport & Highways,Roads & Highways,689.53,763.3,400.51,64.9,Delayed,10.7,False,False,True,True,scope changes and structural revisions
100155,Roads & Highways Project 100155,Ministry of Road Transport & Highways,Roads & Highways,762.36,688.72,72.01,27.0,Delayed,-9.66,False,False,True,True,tendering and ordering delays
100156,Roads & Highways Project 100156,Ministry of Road Transport & Highways,Roads & Highways,668.1,731.85,246.5,41.5,Delayed,9.54,False,False,True,True,contractual disputes and arbitration
100157,Roads & Highways Project 100157,Ministry of Road Transport & Highways,Roads & Highways,438.81,450.35,232.69,73.1,On Track,2.63,False,False,True,True,
100158,Roads & Highways Project 100158,Ministry of Road Transport & Highways,Roads & Highways,590.16,539.27,288.52,61.0,On Track,-8.62,False,False,True,True,
100159,Roads & Highways Project 100159,Ministry of Road Transport & Highways,Roads & Highways,920.51,887.76,57.51,5.1,Critical,-3.56,False,False,True,True,land acquisition delays
100160,Roads & Highways Project 100160,Ministry of Road Transport & Highways,Roads & Highways,202.73,178.59,45.95,49.7,Delayed,-11.91,False,False,True,True,tendering and ordering delays
100161,Roads & Highways Project 100161,Ministry of Road Transport & Highways,Roads & Highways,657.08,625.76,478.39,96.7,On Track,-4.77,False,False,True,True,
100162,Roads & Highways Project 100162,Ministry of Road Transport & Highways,Roads & Highways,1405.59,1279.52,200.55,18.8,Critical,-8.97,False,False,True,True,land acquisition delays
100163,Roads & Highways Project 100163,Ministry of Road Transport & Highways,Roads & Highways,1802.18,1735.49,1295.06,98.4,On Track,-3.7,False,False,True,True,
100164,Roads & Highways Project 100164,Ministry of Road Transport & Highways,Roads & Highways,303.66,285.67,144.83,70.3,On Track,-5.92,False,False,True,True,
100165,Roads & Highways Project 100165,Ministry of Road Transport & Highways,Roads & Highways,352.42,325.3,56.29,23.6,Critical,-7.7,False,False,True,True,delays in detailed engineering
100166,Roads & Highways Project 100166,Ministry of Road Transport & Highways,Roads & Highways,736.45,658.32,477.28,94.4,On Track,-10.61,False,False,True,True,
100167,Roads & Highways Project 100167,Ministry of Road Transport & Highways,Roads & Highways,1061.97,994.56,48.73,14.6,Critical,-6.35,False,False,True,True,scope changes and structural revisions
100168,Roads & Highways Project 100168,Ministry of Road Transport & Highways,Roads & Highways,663.32,620.21,283.55,59.3,On Track,-6.5,False,False,True,True,
100169,Roads & Highways Project 100169,Ministry of Road Transport & Highways,Roads & Highways,1550.76,1625.54,498.96,41.9,Delayed,4.82,False,False,True,True,land acquisition delays
100170,Roads & Highways Project 100170,Ministry of Road Transport & Highways,Roads & Highways,630.3,613.93,183.45,38.3,Delayed,-2.6,False,False,True,True,delays in detailed engineering
100171,Roads & Highways Project 100171,Ministry of Road Transport & Highways,Roads & Highways,1594.52,1574.37,61.05,9.2,Critical,-1.26,False,False,True,True,delays in detailed engineering
100172,Roads & Highways Project 100172,Ministry of Road Transport & Highways,Roads & Highways,734.48,728.98,140.51,21.8,Critical,-0.75,False,False,True,True,delays in detailed engineering
100173,Roads & Highways Project 100173,Ministry of Road Transport & Highways,Roads & Highways,550.42,557.7,150.83,37.9,Delayed,1.32,False,False,True,True,land acquisition delays
100174,Roads & Highways Project 100174,Ministry of Road Transport & Highways,Roads & Highways,1052.41,1004.57,643.19,68.2,On Track,-4.55,False,False,True,True,
100175,Roads & Highways Project 100175,Ministry of Road Transport & Highways,Roads & Highways,363.28,352.6,177.8,69.2,On Track,-2.94,False,False,True,True,
100176,Roads & Highways Project 100176,Ministry of Road Transport & Highways,Roads & Highways,700.77,620.69,411.14,89.8,On Track,-11.43,False,False,True,True,
100177,Roads & Highways Project 100177,Ministry of Road Transport & Highways,Roads & Highways,618.84,551.54,263.89,60.2,On Track,-10.88,False,False,True,True,
